artistDisplayName,country,objectDate,measurements[1].elementMeasurements.Depth,geographyType,constituents[1].gender,objectURL,isHighlight,reign,county,objectEndDate,artistGender,repository,measurements[0].elementName,measurements[0].elementDescription,dynasty,portfolio,excavation,state,measurements[1].elementMeasurements.Width,artistAlphaSort,period,primaryImage,subregion,measurements[0].elementMeasurements.Width,classification,constituents[1].constituentID,tags,constituents[0].name,objectWikidata_URL,constituents[1].role,isTimelineWork,accessionYear,constituents[0].constituentWikidata_URL,constituents[1].constituentULAN_URL,region,primaryImageSmall,constituents[0].constituentID,isPublicDomain,constituents[1].constituentWikidata_URL,artistSuffix,city,linkResource,artistPrefix,artistWikidata_URL,medium,measurements[1].elementName,title,locale,accessionNumber,artistEndDate,rightsAndReproduction,metadataDate,creditLine,constituents[0].constituentULAN_URL,constituents[1].name,artistRole,constituents[0].role,constituents[0].gender,department,measurements[0].elementMeasurements.Height,additionalImages,GalleryNumber,measurements[1].elementMeasurements.Height,objectBeginDate,artistBeginDate,artistULAN_URL,measurements[1].elementDescription,culture,artistNationality,objectName,artistDisplayBio,locus,river,objectID,dimensions
Emile-Allain Séguy,,1925 or earlier,2,,,https://www.metmuseum.org/art/collection/search/747740,false,,,1925,,Metropolitan Museum of Art; New York; NY,Sheet,null,,,,,38.5,Séguy; Emile-Allain,,,,35.2,Books,163399,null,Designed by Emile-Allain Séguy,,Publisher,false,1977,https://www.wikidata.org/wiki/Q53506477,,,,87325,false,,,,,Designed by,https://www.wikidata.org/wiki/Q53506477,Pochoir,Overall,Floréal; Pl. 18,,1977.643.5(18),1951,,2021-06-05T04:45:37.2Z,Museum Accession; transferred from the Library,(not assigned),Published by A. Calavas,Designer,Designer,,Drawings and Prints,53,[],,44,1920,1877,(not assigned),Album,,French,Book Print Ornament & Architecture,French; 1877–1951,,,747740,"Sheet: 20 7/8 × 13 7/8 in. (53 × 35.2 cm)Album: 17 5/16 × 15 3/16 × 13/16 in. (44 × 38.5 × 2 cm)"
Emile-Allain Séguy,,1925 or earlier,2,,,https://www.metmuseum.org/art/collection/search/747741,false,,,1925,,Metropolitan Museum of Art; New York; NY,Sheet,null,,,,,38.5,Séguy; Emile-Allain,,,,35.2,Books,163399,null,Designed by Emile-Allain Séguy,,Publisher,false,1977,https://www.wikidata.org/wiki/Q53506477,,,,87325,false,,,,,Designed by,https://www.wikidata.org/wiki/Q53506477,Pochoir,Overall,Floréal; Pl. 19,,1977.643.5(19),1951,,2021-06-05T04:45:37.2Z,Museum Accession; transferred from the Library,(not assigned),Published by A. Calavas,Designer,Designer,,Drawings and Prints,53,[],,44,1920,1877,(not assigned),Album,,French,Book Print Ornament & Architecture,French; 1877–1951,,,747741,"Sheet: 20 7/8 × 13 7/8 in. (53 × 35.2 cm)Album: 17 5/16 × 15 3/16 × 13/16 in. (44 × 38.5 × 2 cm)"
Emile-Allain Séguy,,1925 or earlier,,,,https://www.metmuseum.org/art/collection/search/747742,false,,,1925,,Metropolitan Museum of Art; New York; NY,Overall,Album,,,,,35.2,Séguy; Emile-Allain,,,,38.5,Books,163399,null,Designed by Emile-Allain Séguy,,Publisher,false,1977,https://www.wikidata.org/wiki/Q53506477,,,,87325,false,,,,,Designed by,https://www.wikidata.org/wiki/Q53506477,Pochoir,Sheet,Floréal; Pl. 20,,1977.643.5(20),1951,,2021-06-05T04:45:37.2Z,Museum Accession; transferred from the Library,(not assigned),Published by A. Calavas,Designer,Designer,,Drawings and Prints,44,[],,53,1920,1877,(not assigned),null,,French,Book Print Ornament & Architecture,French; 1877–1951,,,747742,"Sheet: 20 7/8 × 13 7/8 in. (53 × 35.2 cm)Album: 17 5/16 × 15 3/16 × 13/16 in. (44 × 38.5 × 2 cm)"
Emile-Allain Séguy,,[ca. 1920–29],1.5,,,https://www.metmuseum.org/art/collection/search/747743,false,,,1929,,Metropolitan Museum of Art; New York; NY,Sheet,null,,,,,33.4,Séguy; Emile-Allain,,,,31.8,Books,84175,,Designed by Emile-Allain Séguy,,Publisher,false,1991,https://www.wikidata.org/wiki/Q53506477,,,,87325,false,,,,,Designed by,https://www.wikidata.org/wiki/Q53506477,Lithography and pochoir,Overall,Papillons; Pl. 1,,1991.1073.41(1),1951,,2022-10-05T04:56:22.043Z,Rogers Fund; 1925; transferred from the Library,(not assigned),Published by Tolmer Editeur,Designer,Designer,,Drawings and Prints,44.6,[],,46,1920,1877,(not assigned),Album,,French,Book Print Ornament & Archcitecture,French; 1877–1951,,,747743,"Sheet: 17 9/16 × 12 1/2 in. (44.6 × 31.8 cm)Album: 18 1/8 × 13 1/8 × 9/16 in. (46 × 33.4 × 1.5 cm)"
Emile-Allain Séguy,,[ca. 1920–29],,,,https://www.metmuseum.org/art/collection/search/747744,false,,,1929,,Metropolitan Museum of Art; New York; NY,Overall,Album,,,,,31.8,Séguy; Emile-Allain,,,,33.4,Books,84175,,Designed by Emile-Allain Séguy,,Publisher,false,1991,https://www.wikidata.org/wiki/Q53506477,,,,87325,false,,,,,Designed by,https://www.wikidata.org/wiki/Q53506477,Lithography and pochoir,Sheet,Papillons; Pl. 2,,1991.1073.41(2),1951,,2022-10-06T04:55:22.393Z,Rogers Fund; 1925; transferred from the Library,(not assigned),Published by Tolmer Editeur,Designer,Designer,,Drawings and Prints,46,[],,44.6,1920,1877,(not assigned),null,,French,Book Print Ornament & Archcitecture,French; 1877–1951,,,747744,"Sheet: 17 9/16 × 12 1/2 in. (44.6 × 31.8 cm)Album: 18 1/8 × 13 1/8 × 9/16 in. (46 × 33.4 × 1.5 cm)"
Emile-Allain Séguy,,[ca. 1920–29],,,,https://www.metmuseum.org/art/collection/search/747745,false,,,1929,,Metropolitan Museum of Art; New York; NY,Overall,Album,,,,,31.8,Séguy; Emile-Allain,,,,33.4,Books,84175,,Designed by Emile-Allain Séguy,,Publisher,false,1991,https://www.wikidata.org/wiki/Q53506477,,,,87325,false,,,,,Designed by,https://www.wikidata.org/wiki/Q53506477,Lithography and pochoir,Sheet,Papillons; Pl. 3,,1991.1073.41(3),1951,,2022-10-05T04:56:22.043Z,Rogers Fund; 1925; transferred from the Library,(not assigned),Published by Tolmer Editeur,Designer,Designer,,Drawings and Prints,46,[],,44.6,1920,1877,(not assigned),null,,French,Book Print Ornament & Archcitecture,French; 1877–1951,,,747745,"Sheet: 17 9/16 × 12 1/2 in. (44.6 × 31.8 cm)Album: 18 1/8 × 13 1/8 × 9/16 in. (46 × 33.4 × 1.5 cm)"
Emile-Allain Séguy,,[ca. 1920–29],,,,https://www.metmuseum.org/art/collection/search/747747,false,,,1929,,Metropolitan Museum of Art; New York; NY,Overall,Album,,,,,31.8,Séguy; Emile-Allain,,,,33.4,Books,84175,,Designed by Emile-Allain Séguy,,Publisher,false,1991,https://www.wikidata.org/wiki/Q53506477,,,,87325,false,,,,,Designed by,https://www.wikidata.org/wiki/Q53506477,Lithography and pochoir,Sheet,Papillons; Pl. 4,,1991.1073.41(4),1951,,2022-10-06T04:55:22.393Z,Rogers Fund; 1925; transferred from the Library,(not assigned),Published by Tolmer Editeur,Designer,Designer,,Drawings and Prints,46,[],,44.6,1920,1877,(not assigned),null,,French,Book Print Ornament & Archcitecture,French; 1877–1951,,,747747,"Sheet: 17 9/16 × 12 1/2 in. (44.6 × 31.8 cm)Album: 18 1/8 × 13 1/8 × 9/16 in. (46 × 33.4 × 1.5 cm)"
Emile-Allain Séguy,,[ca. 1920–29],,,,https://www.metmuseum.org/art/collection/search/747748,false,,,1929,,Metropolitan Museum of Art; New York; NY,Overall,Album,,,,,31.8,Séguy; Emile-Allain,,,,33.4,Books,84175,,Designed by Emile-Allain Séguy,,Publisher,false,1991,https://www.wikidata.org/wiki/Q53506477,,,,87325,false,,,,,Designed by,https://www.wikidata.org/wiki/Q53506477,Lithography and pochoir,Sheet,Papillons; Pl. 5,,1991.1073.41(5),1951,,2022-10-06T04:55:22.393Z,Rogers Fund; 1925; transferred from the Library,(not assigned),Published by Tolmer Editeur,Designer,Designer,,Drawings and Prints,46,[],,44.6,1920,1877,(not assigned),null,,French,Book Print Ornament & Archcitecture,French; 1877–1951,,,747748,"Sheet: 17 9/16 × 12 1/2 in. (44.6 × 31.8 cm)Album: 18 1/8 × 13 1/8 × 9/16 in. (46 × 33.4 × 1.5 cm)"
Emile-Allain Séguy,,[ca. 1920–29],,,,https://www.metmuseum.org/art/collection/search/747749,false,,,1929,,Metropolitan Museum of Art; New York; NY,Overall,Album,,,,,31.8,Séguy; Emile-Allain,,,,33.4,Books,84175,,Designed by Emile-Allain Séguy,,Publisher,false,1991,https://www.wikidata.org/wiki/Q53506477,,,,87325,false,,,,,Designed by,https://www.wikidata.org/wiki/Q53506477,Lithography and pochoir,Sheet,Papillons; Pl. 6,,1991.1073.41(6),1951,,2022-10-06T04:55:22.393Z,Rogers Fund; 1925; transferred from the Library,(not assigned),Published by Tolmer Editeur,Designer,Designer,,Drawings and Prints,46,[],,44.6,1920,1877,(not assigned),null,,French,Book Print Ornament & Archcitecture,French; 1877–1951,,,747749,"Sheet: 17 9/16 × 12 1/2 in. (44.6 × 31.8 cm)Album: 18 1/8 × 13 1/8 × 9/16 in. (46 × 33.4 × 1.5 cm)"
Emile-Allain Séguy,,[ca. 1920–29],,,,https://www.metmuseum.org/art/collection/search/747750,false,,,1929,,Metropolitan Museum of Art; New York; NY,Overall,Album,,,,,31.8,Séguy; Emile-Allain,,,,33.4,Books,84175,,Designed by Emile-Allain Séguy,,Publisher,false,1991,https://www.wikidata.org/wiki/Q53506477,,,,87325,false,,,,,Designed by,https://www.wikidata.org/wiki/Q53506477,Lithography and pochoir,Sheet,Papillons; Pl. 7,,1991.1073.41(7),1951,,2022-10-05T04:56:22.043Z,Rogers Fund; 1925; transferred from the Library,(not assigned),Published by Tolmer Editeur,Designer,Designer,,Drawings and Prints,46,[],,44.6,1920,1877,(not assigned),null,,French,Book Print Ornament & Archcitecture,French; 1877–1951,,,747750,"Sheet: 17 9/16 × 12 1/2 in. (44.6 × 31.8 cm)Album: 18 1/8 × 13 1/8 × 9/16 in. (46 × 33.4 × 1.5 cm)"
Emile-Allain Séguy,,[ca. 1920–29],,,,https://www.metmuseum.org/art/collection/search/747751,false,,,1929,,Metropolitan Museum of Art; New York; NY,Overall,Album,,,,,31.8,Séguy; Emile-Allain,,,,33.4,Books,84175,,Designed by Emile-Allain Séguy,,Publisher,false,1991,https://www.wikidata.org/wiki/Q53506477,,,,87325,false,,,,,Designed by,https://www.wikidata.org/wiki/Q53506477,Lithography and pochoir,Sheet,Papillons; Pl. 8,,1991.1073.41(8),1951,,2022-10-06T04:55:22.393Z,Rogers Fund; 1925; transferred from the Library,(not assigned),Published by Tolmer Editeur,Designer,Designer,,Drawings and Prints,46,[],,44.6,1920,1877,(not assigned),null,,French,Book Print Ornament & Archcitecture,French; 1877–1951,,,747751,"Sheet: 17 9/16 × 12 1/2 in. (44.6 × 31.8 cm)Album: 18 1/8 × 13 1/8 × 9/16 in. (46 × 33.4 × 1.5 cm)"
